31670,222,3
1,4,0,64,0,99,119,53
2,6,87,0,73,168,56,172
3,3,67,259,134,118,301,235
4,1,151,133,77,207,241,152
5,2,0,232,0,88,296,58
6,6,106,251,0,190,307,91
7,NONE,-1,-1,-1,-1,-1,-1
8,NONE,-1,-1,-1,-1,-1,-1
9,6,0,80,107,71,153,195
10,6,0,172,146,85,242,234
11,4,189,183,160,244,263,241
12,4,185,0,0,233,88,80
13,NONE,-1,-1,-1,-1,-1,-1
14,4,185,0,80,230,81,126
15,3,57,0,69,106,60,153
16,3,158,0,0,221,48,93
17,3,0,188,94,57,251,177
18,NONE,-1,-1,-1,-1,-1,-1
19,2,0,209,109,69,296,160
20,6,0,255,0,106,311,88
21,NONE,-1,-1,-1,-1,-1,-1
22,NONE,-1,-1,-1,-1,-1,-1
23,3,184,159,0,235,269,50
24,NONE,-1,-1,-1,-1,-1,-1
25,3,184,59,198,237,136,242
26,4,118,133,0,187,206,56
27,3,177,268,137,239,317,230
28,NONE,-1,-1,-1,-1,-1,-1
29,4,0,64,53,86,117,115
30,NONE,-1,-1,-1,-1,-1,-1
31,NONE,-1,-1,-1,-1,-1,-1
32,4,112,0,99,182,44,197
33,NONE,-1,-1,-1,-1,-1,-1
34,NONE,-1,-1,-1,-1,-1,-1
35,NONE,-1,-1,-1,-1,-1,-1
36,6,0,0,83,78,80,169
37,3,118,259,137,177,310,213
38,NONE,-1,-1,-1,-1,-1,-1
39,1,80,247,92,176,308,156
40,2,143,96,0,213,186,45
41,5,83,184,172,151,274,276
42,5,80,274,172,142,315,281
43,NONE,-1,-1,-1,-1,-1,-1
44,4,0,269,0,84,318,40
45,6,0,172,74,91,253,146
46,6,106,245,189,177,307,283
47,NONE,-1,-1,-1,-1,-1,-1
48,4,0,269,125,65,317,178
49,5,151,275,69,220,315,169
50,6,87,0,0,191,64,73
51,NONE,-1,-1,-1,-1,-1,-1
52,NONE,-1,-1,-1,-1,-1,-1
53,4,0,119,58,53,163,164
54,4,138,206,69,189,265,175
